Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Sumber,Jumlah Fitur
HSV_R/Gratio_G/Bratio,AdaBoost DT,0.7222222222222222,0.726646106919859,0.7222222222222222,0.719563626439459,0.648960739030023,0.6568487575952461,0.648960739030023,0.6428722491437168,"R/Gratio, G/Bratio, H, S, V",Gabungan Fitur,5
G/Bratio,AdaBoost DT,0.7172619047619048,0.7173857245311003,0.7172619047619048,0.7150788495563991,0.6420323325635104,0.640801232575674,0.6420323325635104,0.6341365207798482,G/Bratio,Gabungan Fitur,1
rgb_HSV_CLab_R/Gratio,AdaBoost DT,0.6696428571428571,0.6706121719252518,0.6696428571428571,0.6673544690079666,0.6397228637413395,0.6412426278446268,0.6397228637413395,0.635537467197242,"r, g, b, R/Gratio, H, S, V, cL, ca, cb",Gabungan Fitur,10
RGB_HSV_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.7291666666666666,0.7292533871993558,0.7291666666666666,0.7282231054396522,0.6397228637413395,0.6376803968401322,0.6397228637413395,0.6370808356819431,"R, G, B, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,11
rgb_HSV_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.7291666666666666,0.7292533871993558,0.7291666666666666,0.7282231054396522,0.6397228637413395,0.6376803968401322,0.6397228637413395,0.6370808356819431,"r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,11
RGB_rgb_HSV_CLab_R/Gratio,AdaBoost DT,0.6775793650793651,0.6810549536930618,0.6775793650793651,0.6752419542246649,0.6374133949191686,0.6423314758712882,0.6374133949191686,0.6333907762892736,"R, G, B, r, g, b, R/Gratio, H, S, V, cL, ca, cb",Gabungan Fitur,13
RGB_HSV_CLab_R/Gratio,AdaBoost DT,0.6696428571428571,0.6706121719252518,0.6696428571428571,0.6673544690079666,0.6374133949191686,0.6382416759842291,0.6374133949191686,0.6330839309069642,"R, G, B, R/Gratio, H, S, V, cL, ca, cb",Gabungan Fitur,10
RGB_rgb_HSV_R/Gratio,AdaBoost DT,0.6845238095238095,0.6843279572871409,0.6845238095238095,0.6834493409737481,0.6351039260969977,0.636787338526393,0.6351039260969977,0.6349899019684954,"R, G, B, r, g, b, R/Gratio, H, S, V",Gabungan Fitur,10
RGB_CLab_G/Bratio,AdaBoost DT,0.7371031746031746,0.7495197961871458,0.7371031746031746,0.7392921198419582,0.628175519630485,0.639575205311474,0.628175519630485,0.6304314318449261,"R, G, B, G/Bratio, cL, ca, cb",Gabungan Fitur,7
rgb_CLab_G/Bratio,AdaBoost DT,0.7371031746031746,0.7495197961871458,0.7371031746031746,0.7392921198419582,0.628175519630485,0.639575205311474,0.628175519630485,0.6304314318449261,"r, g, b, G/Bratio, cL, ca, cb",Gabungan Fitur,7
