Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Sumber,Jumlah Fitur
RGB_HSV_R/Gratio,AdaBoost DT,0.6954288505287607,0.6996096178451949,0.6954288505287607,0.6941706401598735,0.6446455938697317,0.6473629013324984,0.6446455938697317,0.6419067867914814,"R, G, B, R/Gratio, H, S, V",Gabungan Fitur,7
rgb_HSV_R/Gratio,AdaBoost DT,0.6954288505287607,0.6996096178451949,0.6954288505287607,0.6941706401598735,0.6446455938697317,0.6473629013324984,0.6446455938697317,0.6419067867914814,"r, g, b, R/Gratio, H, S, V",Gabungan Fitur,7
RGB_HSV,AdaBoost DT,0.6948879536822867,0.7009259414336129,0.6948879536822867,0.6925698201433821,0.6419396551724138,0.6464883409647382,0.6419396551724138,0.6391293494746682,"R, G, B, H, S, V",Gabungan Fitur,6
rgb_HSV,AdaBoost DT,0.6948879536822867,0.7009259414336129,0.6948879536822867,0.6925698201433821,0.6419396551724138,0.6464883409647382,0.6419396551724138,0.6391293494746682,"r, g, b, H, S, V",Gabungan Fitur,6
rgb_HSV_CLab_G/Bratio,AdaBoost DT,0.7039856339891678,0.7099931628511728,0.7039856339891678,0.7029165691496881,0.6419396551724137,0.6493931465659759,0.6419396551724137,0.6397087577390665,"r, g, b, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,10
RGB_rgb_HSV_CLab_G/Bratio,AdaBoost DT,0.69812613628792,0.7059367134366518,0.69812613628792,0.697354794173821,0.6419252873563217,0.6508376595086308,0.6419252873563217,0.6398886116320205,"R, G, B, r, g, b, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,13
rgb_HSV_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.6991271405046784,0.708314443986039,0.6991271405046784,0.6998324474798674,0.6412691570881226,0.6526215019939776,0.6412691570881226,0.6418186393363083,"r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,11
RGB_HSV_CLab_G/Bratio,AdaBoost DT,0.7039856339891678,0.7099931628511728,0.7039856339891678,0.7029165691496881,0.6412452107279694,0.6488641711730893,0.6412452107279694,0.6390275679319913,"R, G, B, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,10
RGB_HSV_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.6991271405046784,0.708314443986039,0.6991271405046784,0.6998324474798674,0.6405747126436782,0.652063829826567,0.6405747126436782,0.641188560239377,"R, G, B, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,11
G/Bratio,AdaBoost DT,0.6967380207887147,0.7074220533661846,0.6967380207887147,0.6971293961611098,0.6391187739463601,0.6509881644816964,0.6391187739463601,0.6374959621575099,G/Bratio,Gabungan Fitur,1
RGB_rgb_R/Gratio_G/Bratio,AdaBoost DT,0.676613766812302,0.685506238175467,0.676613766812302,0.6738272804922765,0.6384003831417624,0.6466454864195462,0.6384003831417624,0.6353474583660879,"R, G, B, r, g, b, R/Gratio, G/Bratio",Gabungan Fitur,8
ADABOOST DT_SELECTKBEST_n_features-3,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, r, cL",Algoritma,3
ADABOOST DT_SELECTKBEST_n_features-4,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, r, g, cL",Algoritma,4
ADABOOST DT_SFT_threshold-0.05,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R/Gratio, H, cL, ca, cb",Algoritma,5
ADABOOST DT_SELECTKBEST_n_features-5,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, r, g, cL",Algoritma,5
ADABOOST DT_SELECTKBEST_n_features-6,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, r, g, V, cL",Algoritma,6
ADABOOST DT_SELECTKBEST_n_features-7,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, r, g, b, V, cL",Algoritma,7
ADABOOST DT_VARIANCE_threshold-0.05,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, H, cL, ca, cb",Algoritma,7
ADABOOST DT_SELECTKBEST_n_features-8,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, V, cL",Algoritma,8
ADABOOST DT_VARIANCE_threshold-0.01,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, G/Bratio, H, cL, ca, cb",Algoritma,8
ADABOOST DT_VARIANCE_threshold-0.02,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, G/Bratio, H, cL, ca, cb",Algoritma,8
ADABOOST DT_SELECTKBEST_n_features-9,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, G/Bratio, V, cL",Algoritma,9
ADABOOST DT_VARIANCE_threshold-0.005,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, G/Bratio, H, S, cL, ca, cb",Algoritma,9
ADABOOST DT_SFT_threshold-0.02,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"r, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",Algoritma,10
ADABOOST DT_SELECTKBEST_n_features-10,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, G/Bratio, S, V, cL",Algoritma,10
ADABOOST DT_VARIANCE_threshold-0.001,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, b, G/Bratio, H, S, cL, ca, cb",Algoritma,10
ADABOOST DT_SELECTKBEST_n_features-11,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, G/Bratio, S, V, cL, cb",Algoritma,11
ADABOOST DT_SELECTKBEST_n_features-12,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, R/Gratio, G/Bratio, S, V, cL, cb",Algoritma,12
ADABOOST DT_SFT_threshold-0.005,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",Algoritma,13
ADABOOST DT_SFT_threshold-0.01,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",Algoritma,13
ADABOOST DT_SELECTKBEST_n_features-13,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, R/Gratio, G/Bratio, S, V, cL, ca, cb",Algoritma,13
ADABOOST DT_SFT_threshold-0.001,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",Algoritma,14
RGB_rgb_CLab,AdaBoost DT,0.6980489163025787,0.7047645557431756,0.6980489163025787,0.6980666706585876,0.6349952107279693,0.6419896402241271,0.6349952107279693,0.6333655468544089,"R, G, B, r, g, b, cL, ca, cb",Gabungan Fitur,9
RGB_R/Gratio_G/Bratio,AdaBoost DT,0.6736838692328926,0.6840942593862462,0.6736838692328926,0.6708710974327831,0.6349281609195403,0.647112936214995,0.6349281609195403,0.6324804732010133,"R, G, B, R/Gratio, G/Bratio",Gabungan Fitur,5
rgb_R/Gratio_G/Bratio,AdaBoost DT,0.6736838692328926,0.6840942593862462,0.6736838692328926,0.6708710974327831,0.6349281609195403,0.647112936214995,0.6349281609195403,0.6324804732010133,"r, g, b, R/Gratio, G/Bratio",Gabungan Fitur,5
RGB_CLab,AdaBoost DT,0.6921104733620796,0.6977554113108503,0.6921104733620796,0.6917186033042665,0.6329166666666668,0.6405289095372815,0.6329166666666668,0.630389680493752,"R, G, B, cL, ca, cb",Gabungan Fitur,6
rgb_CLab,AdaBoost DT,0.6921104733620796,0.6977554113108503,0.6921104733620796,0.6917186033042665,0.6329166666666668,0.6405289095372815,0.6329166666666668,0.630389680493752,"r, g, b, cL, ca, cb",Gabungan Fitur,6
R/Gratio_G/Bratio,AdaBoost DT,0.7028263228533083,0.7051540537925902,0.7028263228533083,0.7021851192457903,0.631537356321839,0.6348159315995436,0.631537356321839,0.6296572166783377,"R/Gratio, G/Bratio",Gabungan Fitur,2
RGB_rgb_HSV,AdaBoost DT,0.6930372321692034,0.7001664545010567,0.6930372321692034,0.6910291465007492,0.6315086206896552,0.6369117148067531,0.6315086206896552,0.6294094276217296,"R, G, B, r, g, b, H, S, V",Gabungan Fitur,9
RGB_rgb_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.68625109464386,0.6932066707398568,0.68625109464386,0.6854454255895466,0.628735632183908,0.6413497872181998,0.628735632183908,0.6266710284983341,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb",Gabungan Fitur,11
