Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Sumber,Jumlah Fitur
RGB_HSV_CLab_G/Bratio,AdaBoost SVM,0.4027777777777778,0.6410797302542862,0.4027777777777778,0.37751397112381396,0.34872979214780603,0.5941484569660089,0.34872979214780603,0.35033181588070655,"R, G, B, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,10
rgb_HSV_CLab_G/Bratio,AdaBoost SVM,0.4027777777777778,0.6410797302542862,0.4027777777777778,0.37751397112381396,0.34872979214780603,0.5941484569660089,0.34872979214780603,0.35033181588070655,"r, g, b, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,10
RGB_rgb_CLab_R/Gratio,AdaBoost SVM,0.37103174603174605,0.2822613552468376,0.37103174603174605,0.31836462226578255,0.3394919168591224,0.2453129258531407,0.3394919168591224,0.2813232473285644,"R, G, B, r, g, b, R/Gratio, cL, ca, cb",Gabungan Fitur,10
RGB_rgb_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.36706349206349204,0.286588246409675,0.36706349206349204,0.31565263778261005,0.3210161662817552,0.26588515491516274,0.3210161662817552,0.27838850397741854,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb",Gabungan Fitur,11
rgb_CLab_R/Gratio,AdaBoost SVM,0.37797619047619047,0.607017860825591,0.37797619047619047,0.3346068531579298,0.3094688221709007,0.5550506226374656,0.3094688221709007,0.29136662118398055,"r, g, b, R/Gratio, cL, ca, cb",Gabungan Fitur,7
RGB_rgb_HSV_R/Gratio_G/Bratio,AdaBoost SVM,0.36507936507936506,0.3176808071895455,0.36507936507936506,0.3088962793876945,0.3071593533487298,0.248625493555837,0.3071593533487298,0.2614211866338895,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V",Gabungan Fitur,11
rgb_R/Gratio,AdaBoost SVM,0.3541666666666667,0.4067444793752511,0.3541666666666667,0.2652843625196004,0.30484988452655887,0.3941081227825944,0.30484988452655887,0.2352891157444535,"r, g, b, R/Gratio",Gabungan Fitur,4
CLab_R/Gratio,AdaBoost SVM,0.3630952380952381,0.5454836393086798,0.3630952380952381,0.2991123918508951,0.29330254041570436,0.24145034015594136,0.29330254041570436,0.24450391196487337,"R/Gratio, cL, ca, cb",Gabungan Fitur,4
RGB_rgb_R/Gratio_G/Bratio,AdaBoost SVM,0.34325396825396826,0.277110532618156,0.34325396825396826,0.29373642694156676,0.28868360277136257,0.25105672365884346,0.28868360277136257,0.2488146983403117,"R, G, B, r, g, b, R/Gratio, G/Bratio",Gabungan Fitur,8
G/Bratio,AdaBoost SVM,0.3134920634920635,0.2542363984840038,0.3134920634920635,0.24317239421254386,0.28868360277136257,0.21662924413299664,0.28868360277136257,0.22235381850156222,G/Bratio,Gabungan Fitur,1
RGB_rgb_HSV_CLab_G/Bratio,AdaBoost SVM,0.3392857142857143,0.28046612984756575,0.3392857142857143,0.29191510295120104,0.2863741339491917,0.2600223574920115,0.2863741339491917,0.25145678067974786,"R, G, B, r, g, b, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,13
RGB_rgb_HSV_CLab_R/Gratio,AdaBoost SVM,0.3531746031746032,0.3176281643759124,0.3531746031746032,0.28345769814011185,0.2817551963048499,0.2767538804455268,0.2817551963048499,0.23436689713949554,"R, G, B, r, g, b, R/Gratio, H, S, V, cL, ca, cb",Gabungan Fitur,13
RGB_rgb_G/Bratio,AdaBoost SVM,0.3263888888888889,0.2571998403295396,0.3263888888888889,0.27646308751132564,0.279445727482679,0.23862358326701585,0.279445727482679,0.24137700834351342,"R, G, B, r, g, b, G/Bratio",Gabungan Fitur,7
