Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Sumber,Jumlah Fitur
RGB_rgb_R/Gratio_G/Bratio,AdaBoost SVM,0.432957763404628,0.3988219244868484,0.432957763404628,0.38548906383301546,0.4337164750957855,0.40228955571419756,0.4337164750957855,0.38694186969482447,"R, G, B, r, g, b, R/Gratio, G/Bratio",Gabungan Fitur,8
RGB_rgb_CLab_R/Gratio,AdaBoost SVM,0.430641520793474,0.4696701459411431,0.430641520793474,0.40242698404130983,0.42749521072796937,0.45119345388916754,0.42749521072796937,0.4009859992879533,"R, G, B, r, g, b, R/Gratio, cL, ca, cb",Gabungan Fitur,10
RGB_R/Gratio,AdaBoost SVM,0.4297944211237709,0.4441690605248013,0.4297944211237709,0.3928938531302702,0.42748563218390806,0.4431082700408141,0.42748563218390806,0.39132635794560644,"R, G, B, R/Gratio",Gabungan Fitur,4
rgb_R/Gratio,AdaBoost SVM,0.4260164720104324,0.43854078434157506,0.4260164720104324,0.385417751845187,0.4254022988505747,0.4361134692584986,0.4254022988505747,0.38418446437218323,"r, g, b, R/Gratio",Gabungan Fitur,4
RGB_rgb_CLab,AdaBoost SVM,0.41606330373035594,0.45896713828783986,0.41606330373035594,0.3685903367334783,0.40671934865900383,0.4498796197170288,0.40671934865900383,0.36190075117522547,"R, G, B, r, g, b, cL, ca, cb",Gabungan Fitur,9
RGB_CLab_R/Gratio,AdaBoost SVM,0.42008064669655526,0.409418128206001,0.42008064669655526,0.3848549217139838,0.4024521072796935,0.3981822552858086,0.4024521072796935,0.3706474897514857,"R, G, B, R/Gratio, cL, ca, cb",Gabungan Fitur,7
RGB_rgb_HSV_CLab,AdaBoost SVM,0.4069697283379499,0.4540507508295774,0.4069697283379499,0.3726402040834709,0.40182471264367814,0.4108374839722548,0.40182471264367814,0.37371199425819845,"R, G, B, r, g, b, H, S, V, cL, ca, cb",Gabungan Fitur,12
RGB_rgb_HSV_CLab_R/Gratio,AdaBoost SVM,0.4060426720732555,0.42966560803640796,0.4060426720732555,0.34267225839982507,0.40044061302681994,0.37952315038409046,0.40044061302681994,0.33826394568862156,"R, G, B, r, g, b, R/Gratio, H, S, V, cL, ca, cb",Gabungan Fitur,13
rgb_CLab_R/Gratio,AdaBoost SVM,0.41907791722588694,0.4085906365909821,0.41907791722588694,0.383781223282439,0.39899904214559384,0.39521188491141235,0.39899904214559384,0.3669945072547408,"r, g, b, R/Gratio, cL, ca, cb",Gabungan Fitur,7
RGB_HSV_CLab,AdaBoost SVM,0.40512180292603067,0.45795665398210905,0.40512180292603067,0.3549958140520517,0.3976484674329502,0.45605757812659586,0.3976484674329502,0.34706779561732787,"R, G, B, H, S, V, cL, ca, cb",Gabungan Fitur,9
rgb_HSV_CLab,AdaBoost SVM,0.40496760092140455,0.457725101649615,0.40496760092140455,0.3547855053534362,0.3976484674329502,0.45605757812659586,0.3976484674329502,0.34706779561732787,"r, g, b, H, S, V, cL, ca, cb",Gabungan Fitur,9
RGB_rgb_R/Gratio,AdaBoost SVM,0.40619502984094347,0.4511691510644078,0.40619502984094347,0.3685062996017705,0.39492337164750957,0.42169041084890385,0.39492337164750957,0.3562745085330776,"R, G, B, r, g, b, R/Gratio",Gabungan Fitur,7
RGB_HSV_G/Bratio,AdaBoost SVM,0.39286042338920774,0.36158235131917704,0.39286042338920774,0.3237171910359083,0.39486590038314173,0.341902089827951,0.39486590038314173,0.3276079777159703,"R, G, B, G/Bratio, H, S, V",Gabungan Fitur,7
rgb_HSV_G/Bratio,AdaBoost SVM,0.39270622138458167,0.3594975353830955,0.39270622138458167,0.32362304431357475,0.39486590038314173,0.33764804436681706,0.39486590038314173,0.32769586378712623,"r, g, b, G/Bratio, H, S, V",Gabungan Fitur,7
RGB,AdaBoost SVM,0.3949413770619759,0.3969769740335308,0.3949413770619759,0.379386147595063,0.39000478927203064,0.38286428341831547,0.39000478927203064,0.374095104427957,"R, G, B",Gabungan Fitur,3
rgb,AdaBoost SVM,0.3949413770619759,0.3969769740335308,0.3949413770619759,0.379386147595063,0.39000478927203064,0.38286428341831547,0.39000478927203064,0.374095104427957,"r, g, b",Gabungan Fitur,3
