Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Sumber,Jumlah Fitur
RGB_rgb_R/Gratio,Bagging SVM,0.6388888888888888,0.6670268472374696,0.6388888888888888,0.6427977287776451,0.5889145496535797,0.635178152557705,0.5889145496535797,0.5974932000015891,"R, G, B, r, g, b, R/Gratio",Gabungan Fitur,7
RGB_rgb_R/Gratio_G/Bratio,Bagging SVM,0.6349206349206349,0.665894959103902,0.6349206349206349,0.6430366079935785,0.5750577367205543,0.6185349558482074,0.5750577367205543,0.587648846959503,"R, G, B, r, g, b, R/Gratio, G/Bratio",Gabungan Fitur,8
RGB_R/Gratio,Bagging SVM,0.626984126984127,0.653950673123319,0.626984126984127,0.6331541880561854,0.5727482678983834,0.6130443494928681,0.5727482678983834,0.5826178064547013,"R, G, B, R/Gratio",Gabungan Fitur,4
rgb_R/Gratio,Bagging SVM,0.626984126984127,0.653950673123319,0.626984126984127,0.6331541880561854,0.5727482678983834,0.6130443494928681,0.5727482678983834,0.5826178064547013,"r, g, b, R/Gratio",Gabungan Fitur,4
RGB_rgb_CLab_R/Gratio,Bagging SVM,0.628968253968254,0.6600012115755025,0.628968253968254,0.6369701595026439,0.5681293302540416,0.6124351149558368,0.5681293302540416,0.5812202166330995,"R, G, B, r, g, b, R/Gratio, cL, ca, cb",Gabungan Fitur,10
RGB_rgb_CLab_R/Gratio_G/Bratio,Bagging SVM,0.6279761904761905,0.6569461553703303,0.6279761904761905,0.6363483727676803,0.5635103926096998,0.60680275008752,0.5635103926096998,0.5756961849131348,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb",Gabungan Fitur,11
RGB,Bagging SVM,0.6200396825396826,0.6509022265856238,0.6200396825396826,0.6267924312544505,0.5612009237875288,0.6145945669519046,0.5612009237875288,0.5741865236408388,"R, G, B",Gabungan Fitur,3
rgb,Bagging SVM,0.6200396825396826,0.6509022265856238,0.6200396825396826,0.6267924312544505,0.5612009237875288,0.6145945669519046,0.5612009237875288,0.5741865236408388,"r, g, b",Gabungan Fitur,3
RGB_rgb,Bagging SVM,0.6200396825396826,0.6509022265856238,0.6200396825396826,0.6267924312544505,0.5612009237875288,0.6145945669519046,0.5612009237875288,0.5741865236408388,"R, G, B, r, g, b",Gabungan Fitur,6
RGB_rgb_HSV_R/Gratio_G/Bratio,Bagging SVM,0.6299603174603174,0.6636430429789125,0.6299603174603174,0.6395725795346786,0.5612009237875288,0.6030820470660767,0.5612009237875288,0.5747013891198162,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V",Gabungan Fitur,11
RGB_rgb_HSV_R/Gratio,Bagging SVM,0.6259920634920635,0.656219932701516,0.6259920634920635,0.6335969124164647,0.5612009237875288,0.6014912076837552,0.5612009237875288,0.5734632930303575,"R, G, B, r, g, b, R/Gratio, H, S, V",Gabungan Fitur,10
RGB_R/Gratio_G/Bratio,Bagging SVM,0.6339285714285714,0.6660518877208437,0.6339285714285714,0.6424656665669362,0.558891454965358,0.598368974916991,0.558891454965358,0.5697919680830316,"R, G, B, R/Gratio, G/Bratio",Gabungan Fitur,5
rgb_R/Gratio_G/Bratio,Bagging SVM,0.6339285714285714,0.6660518877208437,0.6339285714285714,0.6424656665669362,0.558891454965358,0.598368974916991,0.558891454965358,0.5697919680830316,"r, g, b, R/Gratio, G/Bratio",Gabungan Fitur,5
RGB_rgb_CLab,Bagging SVM,0.6200396825396826,0.651208525065591,0.6200396825396826,0.6280359200824963,0.5565819861431871,0.6033018788090465,0.5565819861431871,0.5692774364334022,"R, G, B, r, g, b, cL, ca, cb",Gabungan Fitur,9
RGB_CLab_R/Gratio_G/Bratio,Bagging SVM,0.628968253968254,0.6612733232726814,0.628968253968254,0.6384288262515293,0.5565819861431871,0.5982491022394377,0.5565819861431871,0.5684716182195679,"R, G, B, R/Gratio, G/Bratio, cL, ca, cb",Gabungan Fitur,8
rgb_CLab_R/Gratio_G/Bratio,Bagging SVM,0.628968253968254,0.6612733232726814,0.628968253968254,0.6384288262515293,0.5565819861431871,0.5982491022394377,0.5565819861431871,0.5684716182195679,"r, g, b, R/Gratio, G/Bratio, cL, ca, cb",Gabungan Fitur,8
RGB_HSV,Bagging SVM,0.6160714285714286,0.6468672635083804,0.6160714285714286,0.6244857029519908,0.5565819861431871,0.5969845359345312,0.5565819861431871,0.5694557263712118,"R, G, B, H, S, V",Gabungan Fitur,6
rgb_HSV,Bagging SVM,0.6160714285714286,0.6468672635083804,0.6160714285714286,0.6244857029519908,0.5565819861431871,0.5969845359345312,0.5565819861431871,0.5694557263712118,"r, g, b, H, S, V",Gabungan Fitur,6
RGB_HSV_R/Gratio,Bagging SVM,0.6240079365079365,0.6541877462469523,0.6240079365079365,0.6321930790455077,0.5565819861431871,0.5925103658073829,0.5565819861431871,0.5679419136209712,"R, G, B, R/Gratio, H, S, V",Gabungan Fitur,7
rgb_HSV_R/Gratio,Bagging SVM,0.6240079365079365,0.6541877462469523,0.6240079365079365,0.6321930790455077,0.5565819861431871,0.5925103658073829,0.5565819861431871,0.5679419136209712,"r, g, b, R/Gratio, H, S, V",Gabungan Fitur,7
RGB_G/Bratio,Bagging SVM,0.6170634920634921,0.64994010949107,0.6170634920634921,0.6258929541278145,0.5542725173210161,0.6034408133316362,0.5542725173210161,0.5690476653919231,"R, G, B, G/Bratio",Gabungan Fitur,4
rgb_G/Bratio,Bagging SVM,0.6170634920634921,0.64994010949107,0.6170634920634921,0.6258929541278145,0.5542725173210161,0.6034408133316362,0.5542725173210161,0.5690476653919231,"r, g, b, G/Bratio",Gabungan Fitur,4
RGB_rgb_CLab_G/Bratio,Bagging SVM,0.6190476190476191,0.6535706086173841,0.6190476190476191,0.6279178912098897,0.5542725173210161,0.6001265059792749,0.5542725173210161,0.5665995437294487,"R, G, B, r, g, b, G/Bratio, cL, ca, cb",Gabungan Fitur,10
RGB_rgb_HSV_G/Bratio,Bagging SVM,0.6220238095238095,0.6544122814796054,0.6220238095238095,0.6312033020064212,0.5542725173210161,0.5978057629865335,0.5542725173210161,0.567643503475952,"R, G, B, r, g, b, G/Bratio, H, S, V",Gabungan Fitur,10
RGB_rgb_HSV_CLab_R/Gratio,Bagging SVM,0.6240079365079365,0.6539066697461703,0.6240079365079365,0.6322633044363217,0.5542725173210161,0.5948554591064745,0.5542725173210161,0.5668801806100143,"R, G, B, r, g, b, R/Gratio, H, S, V, cL, ca, cb",Gabungan Fitur,13
BAGGING SVM_PCA_n_components-3,Bagging SVM,0.626984126984127,0.6584897496562107,0.626984126984127,0.6359174480145934,0.5542725173210161,0.5935692554576489,0.5542725173210161,0.5662925240718363,"pca_component_0, pca_component_1, pca_component_2",Algoritma,3
BAGGING SVM_PCA_n_components-4,Bagging SVM,0.626984126984127,0.6584897496562107,0.626984126984127,0.6359174480145934,0.5542725173210161,0.5935692554576489,0.5542725173210161,0.5662925240718363,"pca_component_0, pca_component_1, pca_component_2, pca_component_3",Algoritma,4
BAGGING SVM_PCA_n_components-5,Bagging SVM,0.626984126984127,0.6584897496562107,0.626984126984127,0.6359174480145934,0.5542725173210161,0.5935692554576489,0.5542725173210161,0.5662925240718363,"pca_component_0, pca_component_1, pca_component_2, pca_component_3, pca_component_4",Algoritma,5
