Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features
RGB_rgb_G/Bratio,ANN,0.7271825396825397,0.7555719344772117,0.7271825396825397,0.7259134408519157,0.6997690531177829,0.7313601167602739,0.6997690531177829,0.6991773642062326,"R, G, B, r, g, b, G/Bratio"
RGB_rgb,ANN,0.7281746031746031,0.7432658536473864,0.7281746031746031,0.7315058098708719,0.6997690531177829,0.7208294687158663,0.6997690531177829,0.7049283697030889,"R, G, B, r, g, b"
RGB_rgb_CLab_R/Gratio_G/Bratio,ANN,0.7232142857142857,0.7504724653067989,0.7232142857142857,0.7246653402285037,0.6974595842956121,0.7311704917012969,0.6974595842956121,0.6990637214907844,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb"
RGB,ANN,0.7331349206349206,0.7556900425381005,0.7331349206349206,0.7340169976986356,0.6974595842956121,0.7257333413705663,0.6974595842956121,0.699310631969684,"R, G, B"
rgb,ANN,0.7331349206349206,0.7556900425381005,0.7331349206349206,0.7340169976986356,0.6974595842956121,0.7257333413705663,0.6974595842956121,0.699310631969684,"r, g, b"
RGB_rgb_HSV_CLab,ANN,0.7371031746031746,0.763539787409926,0.7371031746031746,0.7359480730448432,0.6951501154734411,0.7235213147811447,0.6951501154734411,0.6941551648767775,"R, G, B, r, g, b, H, S, V, cL, ca, cb"
RGB_HSV_CLab_R/Gratio,ANN,0.75,0.7733953726187308,0.75,0.7483390592843245,0.6951501154734411,0.7226182937109648,0.6951501154734411,0.6913658388765345,"R, G, B, R/Gratio, H, S, V, cL, ca, cb"
rgb_HSV_CLab_R/Gratio,ANN,0.75,0.7733953726187308,0.75,0.7483390592843245,0.6951501154734411,0.7226182937109648,0.6951501154734411,0.6913658388765345,"r, g, b, R/Gratio, H, S, V, cL, ca, cb"
RGB_HSV_G/Bratio,ANN,0.7361111111111112,0.7511230508920306,0.7361111111111112,0.7354284552800892,0.6951501154734411,0.720651333230607,0.6951501154734411,0.6958638075978439,"R, G, B, G/Bratio, H, S, V"
rgb_HSV_G/Bratio,ANN,0.7361111111111112,0.7511230508920306,0.7361111111111112,0.7354284552800892,0.6951501154734411,0.720651333230607,0.6951501154734411,0.6958638075978439,"r, g, b, G/Bratio, H, S, V"
Full,ANN,0.7371031746031746,0.7630558320900745,0.7371031746031746,0.7371586577687432,0.6928406466512702,0.7215937506720855,0.6928406466512702,0.6921758648187717,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
RGB_CLab,ANN,0.7222222222222222,0.7430890714497208,0.7222222222222222,0.7263134477382828,0.6928406466512702,0.7191132092250362,0.6928406466512702,0.6974896130287016,"R, G, B, cL, ca, cb"
rgb_CLab,ANN,0.7222222222222222,0.7430890714497208,0.7222222222222222,0.7263134477382828,0.6928406466512702,0.7191132092250362,0.6928406466512702,0.6974896130287016,"r, g, b, cL, ca, cb"
