Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features
RGB_rgb_R/Gratio_G/Bratio,Bagging SVM,0.6358243620130025,0.6781462160168643,0.6358243620130025,0.6443691433928238,0.6099760536398466,0.6502391855722863,0.6099760536398466,0.617230419346063,"R, G, B, r, g, b, R/Gratio, G/Bratio"
RGB_rgb_CLab_R/Gratio,Bagging SVM,0.6305809584320892,0.6717608427192083,0.6305809584320892,0.6384523078931605,0.6023467432950191,0.6442586006703691,0.6023467432950191,0.6092676910553936,"R, G, B, r, g, b, R/Gratio, cL, ca, cb"
RGB_rgb_G/Bratio,Bagging SVM,0.6236417492408882,0.6637927862548345,0.6236417492408882,0.6318614979572293,0.6009626436781609,0.6430418400199676,0.6009626436781609,0.6089709309161169,"R, G, B, r, g, b, G/Bratio"
RGB_R/Gratio_G/Bratio,Bagging SVM,0.6337418020693528,0.6745691964617596,0.6337418020693528,0.643152640287585,0.6009626436781609,0.6429273195963154,0.6009626436781609,0.6102446680410866,"R, G, B, R/Gratio, G/Bratio"
rgb_R/Gratio_G/Bratio,Bagging SVM,0.6337418020693528,0.6745691964617596,0.6337418020693528,0.643152640287585,0.6009626436781609,0.6429273195963154,0.6009626436781609,0.6102446680410866,"r, g, b, R/Gratio, G/Bratio"
RGB_rgb_CLab_R/Gratio_G/Bratio,Bagging SVM,0.633280266902729,0.6753078597239208,0.633280266902729,0.6429120523814477,0.6009578544061303,0.6434894622998578,0.6009578544061303,0.6104062289473153,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb"
RGB_R/Gratio,Bagging SVM,0.6251054189630391,0.6649038431190262,0.6251054189630391,0.6324745686452337,0.5995929118773946,0.641051395911578,0.5995929118773946,0.6057721618777017,"R, G, B, R/Gratio"
rgb_R/Gratio,Bagging SVM,0.6251054189630391,0.6649038431190262,0.6251054189630391,0.6324745686452337,0.5995929118773946,0.641051395911578,0.5995929118773946,0.6057721618777017,"r, g, b, R/Gratio"
RGB_rgb_CLab,Bagging SVM,0.6281914222755266,0.6697196149346787,0.6281914222755266,0.6354270962945605,0.5995737547892721,0.6436207970925987,0.5995737547892721,0.6067698963377968,"R, G, B, r, g, b, cL, ca, cb"
RGB_rgb_R/Gratio,Bagging SVM,0.6259534704969683,0.6656260336270317,0.6259534704969683,0.6328208711764389,0.5982040229885058,0.6403971927401836,0.5982040229885058,0.604026680897672,"R, G, B, r, g, b, R/Gratio"
