Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features
ADABOOST DT_SFT_threshold-0.001,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
ADABOOST DT_SFT_threshold-0.005,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
ADABOOST DT_SFT_threshold-0.01,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
ADABOOST DT_SFT_threshold-0.02,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"r, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
ADABOOST DT_SFT_threshold-0.05,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R/Gratio, H, cL, ca, cb"
ADABOOST DT_SELECTKBEST_n_features-3,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, r, cL"
ADABOOST DT_SELECTKBEST_n_features-4,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, r, g, cL"
ADABOOST DT_SELECTKBEST_n_features-5,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, r, g, cL"
ADABOOST DT_SELECTKBEST_n_features-6,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, r, g, V, cL"
ADABOOST DT_SELECTKBEST_n_features-7,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, r, g, b, V, cL"
ADABOOST DT_SELECTKBEST_n_features-8,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, V, cL"
ADABOOST DT_SELECTKBEST_n_features-9,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, G/Bratio, V, cL"
ADABOOST DT_SELECTKBEST_n_features-10,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, G/Bratio, S, V, cL"
ADABOOST DT_SELECTKBEST_n_features-11,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, G/Bratio, S, V, cL, cb"
ADABOOST DT_SELECTKBEST_n_features-12,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, R/Gratio, G/Bratio, S, V, cL, cb"
ADABOOST DT_SELECTKBEST_n_features-13,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, r, g, b, R/Gratio, G/Bratio, S, V, cL, ca, cb"
ADABOOST DT_VARIANCE_threshold-0.001,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, b, G/Bratio, H, S, cL, ca, cb"
ADABOOST DT_VARIANCE_threshold-0.005,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, G/Bratio, H, S, cL, ca, cb"
ADABOOST DT_VARIANCE_threshold-0.01,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, G/Bratio, H, cL, ca, cb"
ADABOOST DT_VARIANCE_threshold-0.02,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, G/Bratio, H, cL, ca, cb"
ADABOOST DT_VARIANCE_threshold-0.05,AdaBoost DT,0.696969799727767,0.7061956589419313,0.696969799727767,0.6970861721187253,0.6377729885057472,0.6490998854715315,0.6377729885057472,0.6377535067832294,"R, G, B, H, cL, ca, cb"
