Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features
BAGGING SVM_SELECTKBEST_n_features-3,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, r, cL"
BAGGING SVM_SELECTKBEST_n_features-4,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, r, g, cL"
BAGGING SVM_SELECTKBEST_n_features-5,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, G, r, g, cL"
BAGGING SVM_SELECTKBEST_n_features-6,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, G, r, g, V, cL"
BAGGING SVM_SELECTKBEST_n_features-7,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, G, r, g, b, V, cL"
BAGGING SVM_SELECTKBEST_n_features-8,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, G, B, r, g, b, V, cL"
BAGGING SVM_SELECTKBEST_n_features-9,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, G, B, r, g, b, G/Bratio, V, cL"
BAGGING SVM_SELECTKBEST_n_features-10,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, G, B, r, g, b, G/Bratio, S, V, cL"
BAGGING SVM_SELECTKBEST_n_features-11,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, G, B, r, g, b, G/Bratio, S, V, cL, cb"
BAGGING SVM_SELECTKBEST_n_features-12,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, G, B, r, g, b, R/Gratio, G/Bratio, S, V, cL, cb"
BAGGING SVM_SELECTKBEST_n_features-13,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, G, B, r, g, b, R/Gratio, G/Bratio, S, V, cL, ca, cb"
BAGGING SVM_MUTUAL_INFO_n_features-3,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R/Gratio, G/Bratio, cL"
BAGGING SVM_MUTUAL_INFO_n_features-4,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R/Gratio, G/Bratio, cL, cb"
BAGGING SVM_MUTUAL_INFO_n_features-5,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"G/Bratio, H, S, cL, ca"
BAGGING SVM_MUTUAL_INFO_n_features-6,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R/Gratio, G/Bratio, H, S, cL, cb"
BAGGING SVM_MUTUAL_INFO_n_features-7,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R/Gratio, G/Bratio, H, S, cL, ca, cb"
BAGGING SVM_MUTUAL_INFO_n_features-8,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"G, R/Gratio, G/Bratio, H, S, cL, ca, cb"
BAGGING SVM_MUTUAL_INFO_n_features-9,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
BAGGING SVM_MUTUAL_INFO_n_features-10,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"R, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
BAGGING SVM_MUTUAL_INFO_n_features-11,Bagging SVM,0.6331261243896171,0.6721119459674016,0.6331261243896171,0.6421001663352119,0.5940325670498086,0.6329969617494062,0.5940325670498086,0.6025220923791552,"G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
