Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s)
rgb_R/Gratio,AdaBoost SVM,0.373783082146205,0.3257728543192921,0.373783082146205,0.29343411922293894,0.37502970297029703,0.29742337308307415,0.37502970297029703,0.29670767587193636,"r, g, b, R/Gratio",141.4
RGB_R/Gratio,AdaBoost SVM,0.37643062523981363,0.37156022015243695,0.37643062523981363,0.29096198184030475,0.37103960396039604,0.334954366563829,0.37103960396039604,0.28943399745853415,"R, G, B, R/Gratio",142.56
RGB_rgb_G/Bratio,AdaBoost SVM,0.35814480132498583,0.3549869161223962,0.35814480132498583,0.27709640126357704,0.362980198019802,0.3379004809172744,0.362980198019802,0.280681315608051,"R, G, B, r, g, b, G/Bratio",153.15
RGB_rgb_R/Gratio,AdaBoost SVM,0.36188589482682415,0.33356350984790806,0.36188589482682415,0.2811078253689912,0.35806930693069305,0.29635317095982583,0.35806930693069305,0.28250457524985984,"R, G, B, r, g, b, R/Gratio",151.04
RGB_rgb_CLab_R/Gratio,AdaBoost SVM,0.3644223343646334,0.3629680190312724,0.3644223343646334,0.2717658700371218,0.3522079207920792,0.34696825159706457,0.3522079207920792,0.2573096506424395,"R, G, B, r, g, b, R/Gratio, cL, ca, cb",153.38
rgb_HSV_CLab,AdaBoost SVM,0.3572567014264968,0.33913762817889903,0.3572567014264968,0.28471841976498113,0.3462376237623762,0.32712915921909425,0.3462376237623762,0.26870766530546886,"r, g, b, H, S, V, cL, ca, cb",156.34
HSV_CLab_G/Bratio,AdaBoost SVM,0.34314739981252035,0.35334714740709067,0.34314739981252035,0.26566582385575443,0.34620792079207924,0.3025792772106114,0.34620792079207924,0.26164120229354915,"G/Bratio, H, S, V, cL, ca, cb",150.26
RGB,AdaBoost SVM,0.3569248478549121,0.3327198146435298,0.3569248478549121,0.26552313636469516,0.3452574257425743,0.29280334737106956,0.3452574257425743,0.2500246460169375,"R, G, B",135.65
RGB_rgb,AdaBoost SVM,0.35306512246890315,0.3461204338636462,0.35306512246890315,0.2597996208939015,0.3442673267326733,0.2868764984942331,0.3442673267326733,0.24569201567789473,"R, G, B, r, g, b",146.51
RGB_HSV_CLab,AdaBoost SVM,0.355602897677875,0.31088843032103275,0.355602897677875,0.27392152062810954,0.34128712871287126,0.2980889879891276,0.34128712871287126,0.2573155096675117,"R, G, B, H, S, V, cL, ca, cb",155.15
RGB_rgb_HSV_R/Gratio,AdaBoost SVM,0.3504206149915732,0.38515450124556355,0.3504206149915732,0.2774386849503288,0.34030693069306933,0.3087186626650558,0.34030693069306933,0.2642656696035535,"R, G, B, r, g, b, R/Gratio, H, S, V",160.44
rgb,AdaBoost SVM,0.34722459674873357,0.30705403968085176,0.34722459674873357,0.25448501920207045,0.33930693069306933,0.27772086171964594,0.33930693069306933,0.2444942650272913,"r, g, b",134.81
RGB_rgb_HSV,AdaBoost SVM,0.34622624326700313,0.3505313029022036,0.34622624326700313,0.2714985174822005,0.3383168316831683,0.30470505166783607,0.3383168316831683,0.26137460385119954,"R, G, B, r, g, b, H, S, V",155.01
RGB_HSV_CLab_G/Bratio,AdaBoost SVM,0.33664474546964623,0.3535698613928945,0.33664474546964623,0.2538155463552373,0.33829702970297026,0.3590747492950931,0.33829702970297026,0.2502809308337681,"R, G, B, G/Bratio, H, S, V, cL, ca, cb",161.62
RGB_rgb_HSV_CLab_R/Gratio,AdaBoost SVM,0.3345439775801524,0.2665093048011867,0.3345439775801524,0.22649909028228551,0.33536633663366333,0.21873376723160992,0.33536633663366333,0.2273461002673261,"R, G, B, r, g, b, R/Gratio, H, S, V, cL, ca, cb",163.46
rgb_HSV_CLab_G/Bratio,AdaBoost SVM,0.3371927349202725,0.35204067857999854,0.3371927349202725,0.25750767135652075,0.3333366336633663,0.3289923305010814,0.3333366336633663,0.24719756601316453,"r, g, b, G/Bratio, H, S, V, cL, ca, cb",161.33
rgb_HSV_CLab_R/Gratio,AdaBoost SVM,0.3461232751628304,0.3468592343796677,0.3461232751628304,0.2583877503482933,0.33330693069306927,0.2791122830392368,0.33330693069306927,0.24252155092079258,"r, g, b, R/Gratio, H, S, V, cL, ca, cb",155.4
RGB_HSV_CLab_R/Gratio,AdaBoost SVM,0.3398469563696943,0.30336574125985194,0.3398469563696943,0.24347990233378863,0.33229702970297026,0.2714795238557111,0.33229702970297026,0.23354582954803665,"R, G, B, R/Gratio, H, S, V, cL, ca, cb",154.46
rgb_HSV,AdaBoost SVM,0.3382876209996649,0.3212533902025069,0.3382876209996649,0.2527714740989796,0.32945544554455447,0.3040966049181752,0.32945544554455447,0.24519024018376695,"r, g, b, H, S, V",146.72
RGB_rgb_R/Gratio_G/Bratio,AdaBoost SVM,0.32385083710154505,0.3283685713606085,0.32385083710154505,0.225692637432748,0.3294356435643564,0.2522985568724536,0.3294356435643564,0.22909401313120553,"R, G, B, r, g, b, R/Gratio, G/Bratio",149.89
RGB_CLab_G/Bratio,AdaBoost SVM,0.33388452029977317,0.3205544661656529,0.33388452029977317,0.2395021346261131,0.3284554455445544,0.26288100785756074,0.3284554455445544,0.23070252057185336,"R, G, B, G/Bratio, cL, ca, cb",152.64
HSV_CLab,AdaBoost SVM,0.3334444773640165,0.38704733978350137,0.3334444773640165,0.25198541388743856,0.32840594059405936,0.33088523851350793,0.32840594059405936,0.24797677116727704,"H, S, V, cL, ca, cb",149.71
rgb_CLab_G/Bratio,AdaBoost SVM,0.3302482162718747,0.2852078037577793,0.3302482162718747,0.23143198045919547,0.32840594059405936,0.2168466821177079,0.32840594059405936,0.22571653885888784,"r, g, b, G/Bratio, cL, ca, cb",152.21
CLab_G/Bratio,AdaBoost SVM,0.33951073151066835,0.31489758115056593,0.33951073151066835,0.25336780132547587,0.32739603960396035,0.2784912601171531,0.32739603960396035,0.24029679954238353,"G/Bratio, cL, ca, cb",140.01
CLab,AdaBoost SVM,0.33454980596340744,0.3234789934230215,0.33454980596340744,0.24574933093999357,0.3244455445544554,0.3009655151405153,0.3244455445544554,0.23806255712940444,"cL, ca, cb",135.46
RGB_HSV,AdaBoost SVM,0.33607854232134793,0.34048030650688366,0.33607854232134793,0.2454002847244987,0.32353465346534654,0.29234479170595234,0.32353465346534654,0.23656534123191916,"R, G, B, H, S, V",146.21
RGB_R/Gratio_G/Bratio,AdaBoost SVM,0.33146270563264674,0.3190293791288562,0.33146270563264674,0.23391861932931862,0.32150495049504946,0.27573252344846233,0.32150495049504946,0.2191961072463573,"R, G, B, R/Gratio, G/Bratio",142.17
RGB_HSV_R/Gratio_G/Bratio,AdaBoost SVM,0.3163528648932191,0.25829963173355697,0.3163528648932191,0.20737759347909743,0.3195643564356436,0.28142959043390714,0.3195643564356436,0.21055110268709867,"R, G, B, R/Gratio, G/Bratio, H, S, V",146.43
RGB_CLab_R/Gratio,AdaBoost SVM,0.32296844416165993,0.34107108603608793,0.32296844416165993,0.2230985920705312,0.3194950495049505,0.2546984291357285,0.3194950495049505,0.21358388835878922,"R, G, B, R/Gratio, cL, ca, cb",149.08
