Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s)
ANN_MUTUAL_INFO_n_features-14,ANN,0.751984126984127,0.7627108067458596,0.751984126984127,0.7507564302903657,0.7090069284064665,0.7271091682139186,0.7090069284064665,0.7077588154585106,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",1.92
ANN_MUTUAL_INFO_n_features-10,ANN,0.7688492063492064,0.7909124637783175,0.7688492063492064,0.7686062794372126,0.7043879907621247,0.7277847729637568,0.7043879907621247,0.70514269610805,"R, G, r, R/Gratio, G/Bratio, H, S, cL, ca, cb",1.94
ANN_PCA_n_components-13,ANN,0.7638888888888888,0.7838296454688549,0.7638888888888888,0.7629266235745252,0.6974595842956121,0.7180933553709709,0.6974595842956121,0.6936456265362847,(tidak tersedia),2.03
ANN_PCA_n_components-3,ANN,0.7371031746031746,0.757382716905738,0.7371031746031746,0.7360379501568606,0.6951501154734411,0.7248955604810883,0.6951501154734411,0.6957141734256485,(tidak tersedia),1.73
ANN_PCA_n_components-14,ANN,0.746031746031746,0.7671629228665818,0.746031746031746,0.7442613750859762,0.6951501154734411,0.7187360084541766,0.6951501154734411,0.6934713620127679,(tidak tersedia),2.01
ANN_PCA_n_components-6,ANN,0.7281746031746031,0.7283620305897633,0.7281746031746031,0.7262513525184108,0.6905311778290993,0.690373028395168,0.6905311778290993,0.6877458450467464,(tidak tersedia),1.87
ANN_MUTUAL_INFO_n_features-5,ANN,0.7281746031746031,0.7536672677934003,0.7281746031746031,0.7288100851527791,0.6882217090069284,0.717029912955528,0.6882217090069284,0.6895107347532289,"R/Gratio, G/Bratio, H, cL, ca",2.34
ANN_PCA_n_components-12,ANN,0.753968253968254,0.775405802527864,0.753968253968254,0.7528598899746737,0.6882217090069284,0.7161932785444356,0.6882217090069284,0.6831314908451555,(tidak tersedia),2.29
ANN_MUTUAL_INFO_n_features-12,ANN,0.746031746031746,0.7628611837689018,0.746031746031746,0.7447639116834114,0.6882217090069284,0.7027855162051254,0.6882217090069284,0.6848132681855905,"R, G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",1.74
ANN_MUTUAL_INFO_n_features-13,ANN,0.75,0.7720226446340724,0.75,0.7489506383458857,0.6859122401847575,0.7120608263851659,0.6859122401847575,0.684520285802379,"R, G, B, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",1.78
ANN_MUTUAL_INFO_n_features-8,ANN,0.753968253968254,0.7629366373076781,0.753968253968254,0.7554646538053365,0.6859122401847575,0.7011059347214808,0.6859122401847575,0.6887492448165494,"R, R/Gratio, G/Bratio, H, S, cL, ca, cb",2.1
ANN_PCA_n_components-5,ANN,0.7440476190476191,0.7519539824504363,0.7440476190476191,0.7456949948968995,0.6859122401847575,0.6896657614902418,0.6859122401847575,0.6874509599696479,(tidak tersedia),1.99
ANN_PCA_n_components-4,ANN,0.7301587301587301,0.7473614659794278,0.7301587301587301,0.7272709862488973,0.6812933025404158,0.6996762204703526,0.6812933025404158,0.6780314700727978,(tidak tersedia),1.6
ANN_PCA_n_components-10,ANN,0.7440476190476191,0.7675451471952562,0.7440476190476191,0.7418095280733368,0.6789838337182448,0.7035317426303116,0.6789838337182448,0.6759328776461431,(tidak tersedia),1.96
ANN_PCA_n_components-7,ANN,0.7509920634920635,0.7656540837149385,0.7509920634920635,0.7506152073026656,0.6789838337182448,0.6995196707437127,0.6789838337182448,0.6784082802316724,(tidak tersedia),1.85
ANN_PCA_n_components-8,ANN,0.7380952380952381,0.7807982680725345,0.7380952380952381,0.7393057051359112,0.6766743648960739,0.7223839923503514,0.6766743648960739,0.6771484576996369,(tidak tersedia),1.59
ANN_PCA_n_components-9,ANN,0.7361111111111112,0.7752520731720814,0.7361111111111112,0.7363689919242132,0.6720554272517321,0.7151199044444496,0.6720554272517321,0.6709217641938057,(tidak tersedia),1.48
ANN_MUTUAL_INFO_n_features-11,ANN,0.7341269841269841,0.7718542379923308,0.7341269841269841,0.7329571547039727,0.6720554272517321,0.7103241837646836,0.6720554272517321,0.6673746460682313,"R, G, r, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",1.32
ANN_PCA_n_components-11,ANN,0.7212301587301587,0.7651629222932478,0.7212301587301587,0.7239258386013273,0.6697459584295612,0.7208399799835601,0.6697459584295612,0.6704182315028706,(tidak tersedia),1.28
ANN_MUTUAL_INFO_n_features-9,ANN,0.7242063492063492,0.7665176766128986,0.7242063492063492,0.7238590898364117,0.6674364896073903,0.7241446042418586,0.6674364896073903,0.6684035168728594,"r, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",1.48
ANN_MUTUAL_INFO_n_features-3,ANN,0.7242063492063492,0.7331742166059616,0.7242063492063492,0.719128549076505,0.6674364896073903,0.6825746510100728,0.6674364896073903,0.6582486101367416,"R/Gratio, G/Bratio, cL",2.51
ANN_MUTUAL_INFO_n_features-6,ANN,0.7083333333333334,0.7221587986725619,0.7083333333333334,0.7106378825765282,0.6581986143187067,0.6781690309428504,0.6581986143187067,0.6633595067102548,"R/Gratio, G/Bratio, H, S, cL, cb",1.92
ANN_MUTUAL_INFO_n_features-7,ANN,0.691468253968254,0.7465446955142931,0.691468253968254,0.6949324767000972,0.6443418013856813,0.7153966009137696,0.6443418013856813,0.6505573059565221,"R/Gratio, G/Bratio, H, S, cL, ca, cb",1.2
ANN_MUTUAL_INFO_n_features-4,ANN,0.6944444444444444,0.7540930047444797,0.6944444444444444,0.6950622433021147,0.6212471131639723,0.7093758125553603,0.6212471131639723,0.6232840539537507,"R/Gratio, G/Bratio, S, cL",1.64
