Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
rgb,AdaBoost SVM,0.560515873015873,0.7725772607022607,0.560515873015873,0.5451562841156886,0.5150115473441108,0.7521442903020529,0.5150115473441108,0.5014084437384335,"r, g, b",17.22,Gabungan Fitur,3
rgb_G/Bratio,AdaBoost SVM,0.5,0.6867521128730367,0.5,0.441503985697094,0.4803695150115473,0.5147328637578004,0.4803695150115473,0.4288147723115091,"r, g, b, G/Bratio",17.53,Gabungan Fitur,4
RGB,AdaBoost SVM,0.501984126984127,0.7700771575486927,0.501984126984127,0.4636963764562122,0.4665127020785219,0.751677307322764,0.4665127020785219,0.4248710998651517,"R, G, B",17.42,Gabungan Fitur,3
RGB_rgb_CLab,AdaBoost SVM,0.4970238095238095,0.5893894655457027,0.4970238095238095,0.4440216652754666,0.4618937644341801,0.5584113386433751,0.4618937644341801,0.4163725008585497,"R, G, B, r, g, b, cL, ca, cb",19.65,Gabungan Fitur,9
CLab_G/Bratio,AdaBoost SVM,0.4861111111111111,0.5144152824995133,0.4861111111111111,0.4227722624349033,0.4572748267898383,0.4897784056799434,0.4572748267898383,0.3996821896307542,"G/Bratio, cL, ca, cb",17.39,Gabungan Fitur,4
rgb_CLab,AdaBoost SVM,0.5079365079365079,0.5925443420748726,0.5079365079365079,0.4558538279175423,0.4526558891454965,0.5459196154115323,0.4526558891454965,0.408527399271187,"r, g, b, cL, ca, cb",17.67,Gabungan Fitur,6
HSV_CLab_G/Bratio,AdaBoost SVM,0.4880952380952381,0.6376697927093931,0.4880952380952381,0.4389441577711654,0.4434180138568129,0.6334290819533527,0.4434180138568129,0.4020005145266395,"G/Bratio, H, S, V, cL, ca, cb",18.74,Gabungan Fitur,7
rgb_HSV,AdaBoost SVM,0.498015873015873,0.6352410347880226,0.498015873015873,0.4540087200684384,0.4434180138568129,0.5761132790188762,0.4434180138568129,0.4025020748301844,"r, g, b, H, S, V",17.96,Gabungan Fitur,6
RGB_R/Gratio,AdaBoost SVM,0.494047619047619,0.6708859087698338,0.494047619047619,0.4438999906810201,0.441108545034642,0.6231830659211538,0.441108545034642,0.4017681838188082,"R, G, B, R/Gratio",17.35,Gabungan Fitur,4
rgb_R/Gratio_G/Bratio,AdaBoost SVM,0.490079365079365,0.5213221592621778,0.490079365079365,0.43044242496745,0.441108545034642,0.4987337313755628,0.441108545034642,0.387161207130173,"r, g, b, R/Gratio, G/Bratio",18.82,Gabungan Fitur,5
rgb_R/Gratio,AdaBoost SVM,0.492063492063492,0.6703542168026558,0.492063492063492,0.4418677904336839,0.4387990762124711,0.6277379894931858,0.4387990762124711,0.3998003057931006,"r, g, b, R/Gratio",17.85,Gabungan Fitur,4
RGB_HSV_R/Gratio,AdaBoost SVM,0.4781746031746032,0.5062495582370046,0.4781746031746032,0.415704812061425,0.4387990762124711,0.4903040146920054,0.4387990762124711,0.3849043258333646,"R, G, B, R/Gratio, H, S, V",18.82,Gabungan Fitur,7
RGB_G/Bratio,AdaBoost SVM,0.4712301587301587,0.6537797762799624,0.4712301587301587,0.4117045628111636,0.4364896073903002,0.5855323217840086,0.4364896073903002,0.3830977890942981,"R, G, B, G/Bratio",17.9,Gabungan Fitur,4
CLab,AdaBoost SVM,0.4732142857142857,0.5215422891754107,0.4732142857142857,0.4087495798754303,0.4341801385681293,0.4854575506457044,0.4341801385681293,0.3750335381382343,"cL, ca, cb",16.9,Gabungan Fitur,3
RGB_rgb_G/Bratio,AdaBoost SVM,0.4821428571428571,0.5283010512617828,0.4821428571428571,0.4226308696562991,0.4318706697459584,0.5079427268019864,0.4318706697459584,0.3812352802720949,"R, G, B, r, g, b, G/Bratio",19.49,Gabungan Fitur,7
rgb_HSV_CLab,AdaBoost SVM,0.4751984126984127,0.5116831378093154,0.4751984126984127,0.4139302619437855,0.4295612009237875,0.4887376600734723,0.4295612009237875,0.3737209627861763,"r, g, b, H, S, V, cL, ca, cb",19.78,Gabungan Fitur,9
HSV,AdaBoost SVM,0.4751984126984127,0.6613137423448946,0.4751984126984127,0.4212174458294317,0.4272517321016166,0.5771645265570359,0.4272517321016166,0.3690641284574461,"H, S, V",16.14,Gabungan Fitur,3
RGB_HSV_CLab,AdaBoost SVM,0.4771825396825397,0.5272735759496844,0.4771825396825397,0.4185576847230982,0.4272517321016166,0.5181859868785462,0.4272517321016166,0.3765777996241654,"R, G, B, H, S, V, cL, ca, cb",19.78,Gabungan Fitur,9
RGB_rgb,AdaBoost SVM,0.4712301587301587,0.6036913682519494,0.4712301587301587,0.4166201320259134,0.4249422632794457,0.5783220012302369,0.4249422632794457,0.3797113852158557,"R, G, B, r, g, b",17.84,Gabungan Fitur,6
RGB_HSV,AdaBoost SVM,0.4662698412698413,0.5202614001289548,0.4662698412698413,0.4054557418607806,0.4226327944572748,0.5080116736355387,0.4226327944572748,0.3722538873680533,"R, G, B, H, S, V",18.0,Gabungan Fitur,6
RGB_HSV_R/Gratio_G/Bratio,AdaBoost SVM,0.4692460317460317,0.5149132628783791,0.4692460317460317,0.4080605247016308,0.4157043879907621,0.4987136887087398,0.4157043879907621,0.3646038958635629,"R, G, B, R/Gratio, G/Bratio, H, S, V",21.02,Gabungan Fitur,8
ADABOOST SVM_PCA_n_components-7,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),23.12,Algoritma,1
ADABOOST SVM_PCA_n_components-8,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),23.72,Algoritma,1
ADABOOST SVM_PCA_n_components-9,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),24.04,Algoritma,1
ADABOOST SVM_PCA_n_components-6,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),24.64,Algoritma,1
ADABOOST SVM_PCA_n_components-10,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),24.81,Algoritma,1
ADABOOST SVM_PCA_n_components-11,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),25.19,Algoritma,1
ADABOOST SVM_MUTUAL_INFO_n_features-4,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R/Gratio, G/Bratio, S, cL",25.99,Algoritma,4
ADABOOST SVM_MUTUAL_INFO_n_features-9,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"G, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",26.09,Algoritma,9
ADABOOST SVM_PCA_n_components-5,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),26.15,Algoritma,1
ADABOOST SVM_MUTUAL_INFO_n_features-7,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R/Gratio, G/Bratio, H, S, cL, ca, cb",26.25,Algoritma,7
ADABOOST SVM_MUTUAL_INFO_n_features-6,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R/Gratio, G/Bratio, H, S, cL, ca",26.29,Algoritma,6
ADABOOST SVM_MUTUAL_INFO_n_features-5,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"R/Gratio, G/Bratio, H, cL, ca",26.56,Algoritma,5
ADABOOST SVM_MUTUAL_INFO_n_features-8,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"r, R/Gratio, G/Bratio, H, S, cL, ca, cb",26.81,Algoritma,8
ADABOOST SVM_PCA_n_components-13,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),27.08,Algoritma,1
ADABOOST SVM_PCA_n_components-14,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),27.09,Algoritma,1
ADABOOST SVM_MUTUAL_INFO_n_features-10,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,"G, r, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",27.45,Algoritma,10
ADABOOST SVM_PCA_n_components-12,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),27.98,Algoritma,1
ADABOOST SVM_PCA_n_components-4,AdaBoost SVM,0.4662698412698413,0.5225151822109998,0.4662698412698413,0.4072286470963844,0.4133949191685912,0.5301499152304797,0.4133949191685912,0.3646236112468841,(tidak tersedia),28.24,Algoritma,1
