Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
rgb,AdaBoost SVM,0.5372635254918913,0.7467280951250593,0.5372635254918913,0.5052586904624392,0.5098811881188119,0.6830340793775275,0.5098811881188119,0.4698673922752711,"r, g, b",147.41,Gabungan Fitur,3
RGB,AdaBoost SVM,0.5324144320483367,0.7542289405349079,0.5324144320483367,0.4982669199354313,0.496990099009901,0.6415389647687714,0.496990099009901,0.4551486557154064,"R, G, B",160.65,Gabungan Fitur,3
CLab_G/Bratio,AdaBoost SVM,0.5077126509915537,0.6535821880738875,0.5077126509915537,0.4518872114446483,0.4613663366336634,0.5343398692749683,0.4613663366336634,0.3992663863534265,"G/Bratio, cL, ca, cb",145.22,Gabungan Fitur,4
rgb_R/Gratio,AdaBoost SVM,0.4874299986886138,0.6332896549726558,0.4874299986886138,0.4330959861925462,0.4543960396039604,0.5962170556623363,0.4543960396039604,0.3969185830913814,"r, g, b, R/Gratio",142.75,Gabungan Fitur,4
RGB_R/Gratio,AdaBoost SVM,0.4911825061076599,0.6110808820244301,0.4911825061076599,0.4360760124703112,0.4513861386138614,0.5313214223218903,0.4513861386138614,0.3905880311616348,"R, G, B, R/Gratio",147.19,Gabungan Fitur,4
RGB_rgb_R/Gratio,AdaBoost SVM,0.4923967526191298,0.5674846201253889,0.4923967526191298,0.4329495588988967,0.4513762376237624,0.5268051293739364,0.4513762376237624,0.3835464178749584,"R, G, B, r, g, b, R/Gratio",158.28,Gabungan Fitur,7
rgb_G/Bratio,AdaBoost SVM,0.4775161616210677,0.6213880325412896,0.4775161616210677,0.4158558070783501,0.4503960396039604,0.5267402906210908,0.4503960396039604,0.3822792353743268,"r, g, b, G/Bratio",144.99,Gabungan Fitur,4
CLab,AdaBoost SVM,0.4771830938029714,0.6425720500239798,0.4771830938029714,0.418960815343495,0.4484455445544554,0.6017369865062386,0.4484455445544554,0.3854485579293,"cL, ca, cb",146.5,Gabungan Fitur,3
RGB_rgb_G/Bratio,AdaBoost SVM,0.472881018412834,0.5411639765406873,0.472881018412834,0.4106987888389956,0.4454752475247525,0.5218273657562321,0.4454752475247525,0.3793332705875573,"R, G, B, r, g, b, G/Bratio",160.53,Gabungan Fitur,7
RGB_G/Bratio,AdaBoost SVM,0.4802717726541972,0.6031305418273736,0.4802717726541972,0.4187300400012457,0.4434554455445544,0.5156825206643606,0.4434554455445544,0.3764053679737008,"R, G, B, G/Bratio",143.46,Gabungan Fitur,4
rgb_HSV,AdaBoost SVM,0.4630712422713209,0.5148647589920669,0.4630712422713209,0.3888326598609788,0.4395247524752476,0.4890514542879017,0.4395247524752476,0.3624393429712872,"r, g, b, H, S, V",154.95,Gabungan Fitur,6
rgb_CLab_G/Bratio,AdaBoost SVM,0.466490681872271,0.5398336387625063,0.466490681872271,0.3981892420501165,0.4395049504950495,0.4770529887754353,0.4395049504950495,0.3656145407408248,"r, g, b, G/Bratio, cL, ca, cb",166.69,Gabungan Fitur,7
rgb_CLab,AdaBoost SVM,0.4699058716104309,0.5689186169190036,0.4699058716104309,0.4044533980302777,0.4385049504950495,0.4980773170160142,0.4385049504950495,0.3696040255760364,"r, g, b, cL, ca, cb",147.75,Gabungan Fitur,6
HSV_CLab,AdaBoost SVM,0.468252917834367,0.5515591111979671,0.468252917834367,0.3985656588494052,0.4355544554455445,0.4988433251373016,0.4355544554455445,0.3651773667977623,"H, S, V, cL, ca, cb",152.22,Gabungan Fitur,6
RGB_rgb,AdaBoost SVM,0.4742075827266149,0.5528919672396106,0.4742075827266149,0.4064156876753432,0.4345445544554455,0.5131966892828499,0.4345445544554455,0.365359561875397,"R, G, B, r, g, b",153.78,Gabungan Fitur,6
RGB_CLab,AdaBoost SVM,0.4609815240250814,0.581932161134987,0.4609815240250814,0.3944931718945385,0.4325346534653465,0.5144553946246431,0.4325346534653465,0.3577141343173863,"R, G, B, cL, ca, cb",148.39,Gabungan Fitur,6
RGB_rgb_HSV,AdaBoost SVM,0.45601100593038,0.5724312723110738,0.45601100593038,0.389386289851457,0.4247029702970296,0.5210986033573628,0.4247029702970296,0.3541282242227912,"R, G, B, r, g, b, H, S, V",165.16,Gabungan Fitur,9
RGB_HSV_R/Gratio,AdaBoost SVM,0.4647262602664542,0.5251690500631646,0.4647262602664542,0.3971714087230245,0.4236534653465347,0.5102812150318832,0.4236534653465347,0.3493068178616164,"R, G, B, R/Gratio, H, S, V",143.45,Gabungan Fitur,7
