Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
ANN_PCA_n_components-5,ANN,0.806548067162403,0.8153288668443869,0.806548067162403,0.8050719693639973,0.7321485148514851,0.7423115374244903,0.7321485148514851,0.7285900344384809,(tidak tersedia),26.44,Algoritma,1
ANN_MUTUAL_INFO_n_features-9,ANN,0.796625123246021,0.8078405459447685,0.796625123246021,0.7960607237702932,0.7321089108910891,0.7436506499912223,0.7321089108910891,0.7301785371270222,"r, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",27.66,Algoritma,9
ANN_MUTUAL_INFO_n_features-5,ANN,0.7982798983918519,0.8065952885002178,0.7982798983918519,0.7972682331610289,0.7301386138613861,0.740484897891031,0.7301386138613861,0.7279601081904558,"R/Gratio, G/Bratio, H, cL, cb",28.76,Algoritma,5
rgb_HSV_CLab_R/Gratio_G/Bratio,ANN,0.7996033056647027,0.8098287969965714,0.7996033056647027,0.7991380820828067,0.7281485148514851,0.742107633177131,0.7281485148514851,0.7265679536621648,"r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",22.32,Gabungan Fitur,11
RGB_HSV_CLab_R/Gratio_G/Bratio,ANN,0.7996033056647027,0.8098287969965714,0.7996033056647027,0.7991380820828067,0.7281485148514851,0.742107633177131,0.7281485148514851,0.7265679536621648,"R, G, B, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",22.74,Gabungan Fitur,11
ANN_MUTUAL_INFO_n_features-11,ANN,0.7994929306568103,0.8093844309162224,0.7994929306568103,0.798928025483368,0.7271683168316831,0.7413807312512486,0.7271683168316831,0.7250495169508363,"R, G, r, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",25.92,Algoritma,11
rgb_R/Gratio,ANN,0.7932102977818145,0.8072532139392689,0.7932102977818145,0.7931526572579017,0.7271584158415841,0.7433793741777799,0.7271584158415841,0.7261902834521237,"r, g, b, R/Gratio",27.58,Gabungan Fitur,4
RGB_R/Gratio,ANN,0.7932102977818145,0.8072532139392689,0.7932102977818145,0.7931526572579017,0.7271584158415841,0.7433793741777799,0.7271584158415841,0.7261902834521237,"R, G, B, R/Gratio",27.9,Gabungan Fitur,4
rgb_CLab_G/Bratio,ANN,0.7853839933167872,0.7947779272346363,0.7853839933167872,0.7846276363057592,0.7271485148514851,0.7386618331073093,0.7271485148514851,0.7250147308865427,"r, g, b, G/Bratio, cL, ca, cb",22.44,Gabungan Fitur,7
RGB_CLab_G/Bratio,ANN,0.7853839933167872,0.7947779272346363,0.7853839933167872,0.7846276363057592,0.7271485148514851,0.7386618331073093,0.7271485148514851,0.7250147308865427,"R, G, B, G/Bratio, cL, ca, cb",22.52,Gabungan Fitur,7
RGB_CLab_R/Gratio_G/Bratio,ANN,0.7976183768924031,0.8086451472604217,0.7976183768924031,0.7969502238052597,0.7262079207920792,0.7369951661174946,0.7262079207920792,0.7248880212741832,"R, G, B, R/Gratio, G/Bratio, cL, ca, cb",21.92,Gabungan Fitur,8
rgb_CLab_R/Gratio_G/Bratio,ANN,0.7976183768924031,0.8086451472604217,0.7976183768924031,0.7969502238052597,0.7262079207920792,0.7369951661174946,0.7262079207920792,0.7248880212741832,"r, g, b, R/Gratio, G/Bratio, cL, ca, cb",22.23,Gabungan Fitur,8
CLab_R/Gratio_G/Bratio,ANN,0.7946442014872092,0.8040533517925053,0.7946442014872092,0.793823560422123,0.7261980198019803,0.739076348517723,0.7261980198019803,0.7242408862335322,"R/Gratio, G/Bratio, cL, ca, cb",26.1,Gabungan Fitur,5
RGB_rgb_HSV_R/Gratio_G/Bratio,ANN,0.798610537716925,0.8091245519906135,0.798610537716925,0.7980463114711234,0.7261584158415841,0.7377695276574109,0.7261584158415841,0.7240549459728916,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V",21.3,Gabungan Fitur,11
