Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
rgb,Bagging SVM,0.8213180403032702,0.8303359122583098,0.8213180403032702,0.8203312338350475,0.7242475247524751,0.734921953475515,0.7242475247524751,0.7226658590902664,"r, g, b",10.9,Gabungan Fitur,3
RGB,Bagging SVM,0.8213180403032702,0.8303359122583098,0.8213180403032702,0.8203312338350475,0.7242475247524751,0.734921953475515,0.7242475247524751,0.7226658590902664,"R, G, B",11.2,Gabungan Fitur,3
CLab,Bagging SVM,0.8252863193274047,0.8317017086685903,0.8252863193274047,0.8239018505068445,0.7222376237623763,0.7288420667054737,0.7222376237623763,0.7189874038296585,"cL, ca, cb",10.85,Gabungan Fitur,3
RGB_G/Bratio,Bagging SVM,0.8261681051440339,0.8330580751935063,0.8261681051440339,0.8247746535482422,0.7212079207920793,0.7305693327313385,0.7212079207920793,0.7183034142124635,"R, G, B, G/Bratio",11.02,Gabungan Fitur,4
rgb_G/Bratio,Bagging SVM,0.8261681051440339,0.8330580751935063,0.8261681051440339,0.8247746535482422,0.7212079207920793,0.7305693327313385,0.7212079207920793,0.7183034142124635,"r, g, b, G/Bratio",11.07,Gabungan Fitur,4
RGB_rgb_G/Bratio,Bagging SVM,0.8302466377514097,0.8369226734012523,0.8302466377514097,0.8288154181891084,0.7182574257425742,0.7315203816444996,0.7182574257425742,0.7148461873335665,"R, G, B, r, g, b, G/Bratio",11.21,Gabungan Fitur,7
RGB_rgb,Bagging SVM,0.8295854805259145,0.8370741435506416,0.8295854805259145,0.8282166071855686,0.7172574257425742,0.731494714533152,0.7172574257425742,0.7141932107659297,"R, G, B, r, g, b",11.67,Gabungan Fitur,6
RGB_R/Gratio_G/Bratio,Bagging SVM,0.8283726911102585,0.8349559764704513,0.8283726911102585,0.8270725226698099,0.7172475247524753,0.7303506306258502,0.7172475247524753,0.7134475495234189,"R, G, B, R/Gratio, G/Bratio",10.97,Gabungan Fitur,5
rgb_R/Gratio_G/Bratio,Bagging SVM,0.8283726911102585,0.8349559764704513,0.8283726911102585,0.8270725226698099,0.7172475247524753,0.7303506306258502,0.7172475247524753,0.7134475495234189,"r, g, b, R/Gratio, G/Bratio",11.39,Gabungan Fitur,5
RGB_rgb_R/Gratio,Bagging SVM,0.829805623418444,0.8377614824165021,0.829805623418444,0.8284958166455608,0.7172376237623761,0.734420607125205,0.7172376237623761,0.7131899799109316,"R, G, B, r, g, b, R/Gratio",11.68,Gabungan Fitur,7
rgb_R/Gratio,Bagging SVM,0.8217592974855383,0.8329069729706559,0.8217592974855383,0.8210220718301073,0.7162772277227722,0.7303056228254148,0.7162772277227722,0.7140560084384735,"r, g, b, R/Gratio",11.3,Gabungan Fitur,4
RGB_R/Gratio,Bagging SVM,0.8217592974855383,0.8329069729706559,0.8217592974855383,0.8210220718301073,0.7162772277227722,0.7303056228254148,0.7162772277227722,0.7140560084384735,"R, G, B, R/Gratio",11.34,Gabungan Fitur,4
rgb_CLab,Bagging SVM,0.8304671449178926,0.8370451460396733,0.8304671449178926,0.8289927056003881,0.7162673267326733,0.7304301917848259,0.7162673267326733,0.7128106881229144,"r, g, b, cL, ca, cb",11.34,Gabungan Fitur,6
RGB_CLab,Bagging SVM,0.8304671449178926,0.8370451460396733,0.8304671449178926,0.8289927056003881,0.7162673267326733,0.7304301917848259,0.7162673267326733,0.7128106881229144,"R, G, B, cL, ca, cb",11.58,Gabungan Fitur,6
RGB_HSV_G/Bratio,Bagging SVM,0.8304671449178926,0.8368781605843176,0.8304671449178926,0.8289821688741756,0.7162574257425742,0.72820049401587,0.7162574257425742,0.7118665362575702,"R, G, B, G/Bratio, H, S, V",11.18,Gabungan Fitur,7
rgb_HSV_G/Bratio,Bagging SVM,0.8304671449178926,0.8368781605843176,0.8304671449178926,0.8289821688741756,0.7162574257425742,0.72820049401587,0.7162574257425742,0.7118665362575702,"r, g, b, G/Bratio, H, S, V",11.25,Gabungan Fitur,7
RGB_rgb_HSV,Bagging SVM,0.8304671449178926,0.8369261653225817,0.8304671449178926,0.8290523548099458,0.7152574257425741,0.7313081997018126,0.7152574257425741,0.7109581706073629,"R, G, B, r, g, b, H, S, V",12.0,Gabungan Fitur,9
BAGGING SVM_MUTUAL_INFO_n_features-4,Bagging SVM,0.8289238376018145,0.8348223026330048,0.8289238376018145,0.8275359327336946,0.7152574257425741,0.7247060251789776,0.7152574257425741,0.7111942631774113,"R/Gratio, G/Bratio, S, cL",12.14,Algoritma,4
BAGGING SVM_MUTUAL_INFO_n_features-3,Bagging SVM,0.8215383046204507,0.8296287941546568,0.8215383046204507,0.8205045546743325,0.7142970297029703,0.7256045505494699,0.7142970297029703,0.7118163104517254,"R/Gratio, G/Bratio, cL",14.88,Algoritma,3
HSV_CLab,Bagging SVM,0.8304671449178926,0.8371169620102844,0.8304671449178926,0.8289817724310018,0.7142871287128713,0.7261501131822066,0.7142871287128713,0.7102039903523898,"H, S, V, cL, ca, cb",11.31,Gabungan Fitur,6
RGB_rgb_R/Gratio_G/Bratio,Bagging SVM,0.8304671449178926,0.8368014011500513,0.8304671449178926,0.8290688389632642,0.7142673267326732,0.7314199109465405,0.7142673267326732,0.7103427976879251,"R, G, B, r, g, b, R/Gratio, G/Bratio",11.85,Gabungan Fitur,8
RGB_rgb_HSV_R/Gratio,Bagging SVM,0.8304671449178926,0.8368023613568953,0.8304671449178926,0.8290843639591078,0.7142673267326732,0.7314143137384479,0.7142673267326732,0.7103897192229072,"R, G, B, r, g, b, R/Gratio, H, S, V",12.99,Gabungan Fitur,10
CLab_R/Gratio,Bagging SVM,0.8291444661929486,0.8359048632410364,0.8291444661929486,0.8278566084817738,0.7142673267326732,0.7250480371994914,0.7142673267326732,0.7113016598615847,"R/Gratio, cL, ca, cb",11.54,Gabungan Fitur,4
CLab_G/Bratio,Bagging SVM,0.8271603873932071,0.8333319487484516,0.8271603873932071,0.8258054497693909,0.7133069306930693,0.7190765541705593,0.7133069306930693,0.7093853651127343,"G/Bratio, cL, ca, cb",11.42,Gabungan Fitur,4
rgb_CLab_R/Gratio,Bagging SVM,0.8304671449178926,0.8368118332425919,0.8304671449178926,0.8290679727122425,0.7132772277227721,0.7303150240152996,0.7132772277227721,0.709227055314958,"r, g, b, R/Gratio, cL, ca, cb",11.17,Gabungan Fitur,7
RGB_CLab_R/Gratio,Bagging SVM,0.8304671449178926,0.8368118332425919,0.8304671449178926,0.8290679727122425,0.7132772277227721,0.7303150240152996,0.7132772277227721,0.709227055314958,"R, G, B, R/Gratio, cL, ca, cb",11.37,Gabungan Fitur,7
RGB_HSV_R/Gratio,Bagging SVM,0.8302466377514097,0.8379160815120985,0.8302466377514097,0.8288965696501427,0.7132772277227721,0.7298051970033475,0.7132772277227721,0.7090399770818534,"R, G, B, R/Gratio, H, S, V",11.41,Gabungan Fitur,7
rgb_HSV_R/Gratio,Bagging SVM,0.8302466377514097,0.8379160815120985,0.8302466377514097,0.8288965696501427,0.7132772277227721,0.7298051970033475,0.7132772277227721,0.7090399770818534,"r, g, b, R/Gratio, H, S, V",11.52,Gabungan Fitur,7
rgb_HSV,Bagging SVM,0.8303568913346512,0.8373261983959797,0.8303568913346512,0.82893160088447,0.7123069306930694,0.7247585444905107,0.7123069306930694,0.7083283947417585,"r, g, b, H, S, V",11.38,Gabungan Fitur,6
RGB_HSV,Bagging SVM,0.8303568913346512,0.8373261983959797,0.8303568913346512,0.82893160088447,0.7123069306930694,0.7247585444905107,0.7123069306930694,0.7083283947417585,"R, G, B, H, S, V",11.7,Gabungan Fitur,6
