Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s)
RGB_rgb_R/Gratio_G/Bratio,AdaBoost DT,0.8283730158730159,0.8363304203240087,0.8283730158730159,0.826994026388264,0.7367205542725174,0.7479552821357656,0.7367205542725174,0.7341899195186009,"R, G, B, r, g, b, R/Gratio, G/Bratio",0.18
RGB_R/Gratio_G/Bratio,AdaBoost DT,0.8273809523809523,0.8345072329813557,0.8273809523809523,0.8262553495418149,0.7344110854503464,0.7455851782180274,0.7344110854503464,0.7317675540296815,"R, G, B, R/Gratio, G/Bratio",0.16
rgb_R/Gratio_G/Bratio,AdaBoost DT,0.8273809523809523,0.8345072329813557,0.8273809523809523,0.8262553495418149,0.7344110854503464,0.7455851782180274,0.7344110854503464,0.7317675540296815,"r, g, b, R/Gratio, G/Bratio",0.17
RGB,AdaBoost DT,0.8283730158730159,0.8367522275397473,0.8283730158730159,0.8268246946018645,0.7321016166281755,0.7393626378720639,0.7321016166281755,0.7285534867565093,"R, G, B",0.18
rgb,AdaBoost DT,0.8283730158730159,0.8367522275397473,0.8283730158730159,0.8268246946018645,0.7321016166281755,0.7393626378720639,0.7321016166281755,0.7285534867565093,"r, g, b",0.17
RGB_G/Bratio,AdaBoost DT,0.8283730158730159,0.8364743195638631,0.8283730158730159,0.8268623698885956,0.7274826789838337,0.737905147948695,0.7274826789838337,0.7242666179885651,"R, G, B, G/Bratio",0.16
RGB_HSV_G/Bratio,AdaBoost DT,0.8263888888888888,0.8347690590148147,0.8263888888888888,0.8247401865274344,0.7274826789838337,0.7371073993640803,0.7274826789838337,0.7229323977574672,"R, G, B, G/Bratio, H, S, V",0.2
rgb_HSV_G/Bratio,AdaBoost DT,0.8263888888888888,0.8347690590148147,0.8263888888888888,0.8247401865274344,0.7274826789838337,0.7371073993640803,0.7274826789838337,0.7229323977574672,"r, g, b, G/Bratio, H, S, V",0.2
RGB_R/Gratio,AdaBoost DT,0.8273809523809523,0.8353950341166497,0.8273809523809523,0.8253995661335829,0.7274826789838337,0.7363060477783474,0.7274826789838337,0.7235176593213948,"R, G, B, R/Gratio",0.15
RGB_rgb_HSV_R/Gratio_G/Bratio,AdaBoost DT,0.8263888888888888,0.835227218082053,0.8263888888888888,0.8246166610975586,0.7251732101616628,0.7355261002735328,0.7251732101616628,0.720001884217888,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V",0.21
rgb_G/Bratio,AdaBoost DT,0.8283730158730159,0.8364743195638631,0.8283730158730159,0.8268623698885956,0.7251732101616628,0.7354535875570855,0.7251732101616628,0.7215638573367474,"r, g, b, G/Bratio",0.17
RGB_HSV_R/Gratio_G/Bratio,AdaBoost DT,0.8263888888888888,0.8350951949881532,0.8263888888888888,0.8248760133624811,0.7251732101616628,0.7353547033373703,0.7251732101616628,0.7204946340633319,"R, G, B, R/Gratio, G/Bratio, H, S, V",0.2
RGB_rgb_G/Bratio,AdaBoost DT,0.8273809523809523,0.835774683584798,0.8273809523809523,0.8255637409229074,0.7251732101616628,0.7333612319723581,0.7251732101616628,0.7213876510527079,"R, G, B, r, g, b, G/Bratio",0.2
RGB_rgb_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.8283730158730159,0.8366356347357221,0.8283730158730159,0.8267471495609551,0.7251732101616628,0.7331909797632145,0.7251732101616628,0.722050319999632,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb",0.24
RGB_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.8283730158730159,0.8371535814131315,0.8283730158730159,0.8266521978254718,0.7251732101616628,0.7331530083248013,0.7251732101616628,0.7221144902971595,"R, G, B, R/Gratio, G/Bratio, cL, ca, cb",0.23
rgb_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.8283730158730159,0.8371535814131315,0.8283730158730159,0.8266521978254718,0.7251732101616628,0.7331530083248013,0.7251732101616628,0.7221144902971595,"r, g, b, R/Gratio, G/Bratio, cL, ca, cb",0.2
RGB_HSV_R/Gratio,AdaBoost DT,0.8253968253968254,0.8348097684122974,0.8253968253968254,0.8231247695270941,0.7228637413394919,0.7349151283857195,0.7228637413394919,0.7176510364108594,"R, G, B, R/Gratio, H, S, V",0.2
rgb_HSV_R/Gratio,AdaBoost DT,0.8253968253968254,0.8348097684122974,0.8253968253968254,0.8231247695270941,0.7228637413394919,0.7349151283857195,0.7228637413394919,0.7176510364108594,"r, g, b, R/Gratio, H, S, V",0.24
rgb_HSV_R/Gratio_G/Bratio,AdaBoost DT,0.8263888888888888,0.8350951949881532,0.8263888888888888,0.8248760133624811,0.7228637413394919,0.7334199239776485,0.7228637413394919,0.7178705795948505,"r, g, b, R/Gratio, G/Bratio, H, S, V",0.19
rgb_R/Gratio,AdaBoost DT,0.8273809523809523,0.8353950341166497,0.8273809523809523,0.8253995661335829,0.7228637413394919,0.732472647687793,0.7228637413394919,0.7183217247510867,"r, g, b, R/Gratio",0.15
RGB_HSV,AdaBoost DT,0.8253968253968254,0.8345698887060029,0.8253968253968254,0.8235911413300785,0.7228637413394919,0.7322082273680472,0.7228637413394919,0.7186470806899552,"R, G, B, H, S, V",0.19
rgb_HSV,AdaBoost DT,0.8253968253968254,0.8345698887060029,0.8253968253968254,0.8235911413300785,0.7228637413394919,0.7322082273680472,0.7228637413394919,0.7186470806899552,"r, g, b, H, S, V",0.2
RGB_rgb,AdaBoost DT,0.8273809523809523,0.8368560631281777,0.8273809523809523,0.8254404629091165,0.7228637413394919,0.7321209363453451,0.7228637413394919,0.7188355729250636,"R, G, B, r, g, b",0.17
RGB_HSV_CLab_R/Gratio,AdaBoost DT,0.8283730158730159,0.8371535814131315,0.8283730158730159,0.8266521978254718,0.7228637413394919,0.73197255314978,0.7228637413394919,0.7185666844097721,"R, G, B, R/Gratio, H, S, V, cL, ca, cb",0.24
rgb_HSV_CLab_R/Gratio,AdaBoost DT,0.8283730158730159,0.8371535814131315,0.8283730158730159,0.8266521978254718,0.7228637413394919,0.73197255314978,0.7228637413394919,0.7185666844097721,"r, g, b, R/Gratio, H, S, V, cL, ca, cb",0.25
