Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s)
Full,AdaBoost DT,0.8268314480132497,0.8351838242479352,0.8268314480132497,0.8254091947150448,0.7271386138613861,0.7368288722774932,0.7271386138613861,0.7240993878804913,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",2.55
RGB_HSV_CLab_R/Gratio,AdaBoost DT,0.8255057336720272,0.8333283390354426,0.8255057336720272,0.8242594065726262,0.7261980198019803,0.7361753198018797,0.7261980198019803,0.7232993155339691,"R, G, B, R/Gratio, H, S, V, cL, ca, cb",2.09
rgb_HSV_CLab_R/Gratio,AdaBoost DT,0.8255057336720272,0.8333283390354426,0.8255057336720272,0.8242594065726262,0.7261980198019803,0.7361753198018797,0.7261980198019803,0.7232993155339691,"r, g, b, R/Gratio, H, S, V, cL, ca, cb",2.05
RGB_HSV_CLab_G/Bratio,AdaBoost DT,0.8301365055928194,0.8378090502729787,0.8301365055928194,0.8286839281962918,0.7261782178217822,0.735735332742695,0.7261782178217822,0.7233443942721208,"R, G, B, G/Bratio, H, S, V, cL, ca, cb",2.11
rgb_HSV_CLab_G/Bratio,AdaBoost DT,0.8301365055928194,0.8378090502729787,0.8301365055928194,0.8286839281962918,0.7261782178217822,0.735735332742695,0.7261782178217822,0.7233443942721208,"r, g, b, G/Bratio, H, S, V, cL, ca, cb",2.12
RGB_rgb_R/Gratio,AdaBoost DT,0.8300261305849268,0.8380473269543887,0.8300261305849268,0.8287320055157077,0.7252574257425743,0.7336011905015649,0.7252574257425743,0.7224669560456085,"R, G, B, r, g, b, R/Gratio",1.46
RGB_CLab,AdaBoost DT,0.8296959769584582,0.8373280641275013,0.8296959769584582,0.8280480493917495,0.7231584158415841,0.7325400279266054,0.7231584158415841,0.7203598117461922,"R, G, B, cL, ca, cb",1.79
rgb_CLab,AdaBoost DT,0.8296959769584582,0.8373280641275013,0.8296959769584582,0.8280480493917495,0.7231584158415841,0.7325400279266054,0.7231584158415841,0.7203598117461922,"r, g, b, cL, ca, cb",1.78
rgb_R/Gratio_G/Bratio,AdaBoost DT,0.8294748626687195,0.8367733504038283,0.8294748626687195,0.82814696246616,0.7222574257425742,0.730346330582499,0.7222574257425742,0.7189334660610242,"r, g, b, R/Gratio, G/Bratio",1.49
RGB_rgb_G/Bratio,AdaBoost DT,0.8298057448430951,0.8374533732465975,0.8298057448430951,0.8284276284758642,0.7222376237623763,0.7306392336668417,0.7222376237623763,0.7184013533502732,"R, G, B, r, g, b, G/Bratio",1.61
rgb_G/Bratio,AdaBoost DT,0.8292544769268877,0.8369168586497568,0.8292544769268877,0.82788154112489,0.7222376237623763,0.7299109125668624,0.7222376237623763,0.7184550278476175,"r, g, b, G/Bratio",1.36
rgb,AdaBoost DT,0.8294748626687195,0.8357699714447623,0.8294748626687195,0.8284181295871497,0.7222376237623763,0.7287243246919941,0.7222376237623763,0.7194278615746351,"r, g, b",1.29
