Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s)
rgb,AdaBoost SVM,0.560515873015873,0.7725772607022607,0.560515873015873,0.5451562841156886,0.5150115473441108,0.7521442903020529,0.5150115473441108,0.5014084437384335,"r, g, b",17.22
rgb_G/Bratio,AdaBoost SVM,0.5,0.6867521128730367,0.5,0.44150398569709404,0.48036951501154734,0.5147328637578004,0.48036951501154734,0.4288147723115091,"r, g, b, G/Bratio",17.53
RGB,AdaBoost SVM,0.501984126984127,0.7700771575486927,0.501984126984127,0.4636963764562122,0.4665127020785219,0.751677307322764,0.4665127020785219,0.42487109986515176,"R, G, B",17.42
RGB_rgb_CLab,AdaBoost SVM,0.49702380952380953,0.5893894655457027,0.49702380952380953,0.44402166527546666,0.4618937644341801,0.5584113386433751,0.4618937644341801,0.4163725008585497,"R, G, B, r, g, b, cL, ca, cb",19.65
CLab_G/Bratio,AdaBoost SVM,0.4861111111111111,0.5144152824995133,0.4861111111111111,0.4227722624349033,0.45727482678983833,0.48977840567994346,0.45727482678983833,0.3996821896307542,"G/Bratio, cL, ca, cb",17.39
rgb_CLab,AdaBoost SVM,0.5079365079365079,0.5925443420748726,0.5079365079365079,0.45585382791754236,0.45265588914549654,0.5459196154115323,0.45265588914549654,0.408527399271187,"r, g, b, cL, ca, cb",17.67
HSV_CLab_G/Bratio,AdaBoost SVM,0.4880952380952381,0.6376697927093931,0.4880952380952381,0.4389441577711654,0.44341801385681295,0.6334290819533527,0.44341801385681295,0.4020005145266395,"G/Bratio, H, S, V, cL, ca, cb",18.74
rgb_HSV,AdaBoost SVM,0.498015873015873,0.6352410347880226,0.498015873015873,0.4540087200684384,0.44341801385681295,0.5761132790188762,0.44341801385681295,0.40250207483018446,"r, g, b, H, S, V",17.96
RGB_R/Gratio,AdaBoost SVM,0.49404761904761907,0.6708859087698338,0.49404761904761907,0.4438999906810201,0.44110854503464203,0.6231830659211538,0.44110854503464203,0.40176818381880824,"R, G, B, R/Gratio",17.35
rgb_R/Gratio_G/Bratio,AdaBoost SVM,0.49007936507936506,0.5213221592621778,0.49007936507936506,0.43044242496745005,0.44110854503464203,0.49873373137556287,0.44110854503464203,0.387161207130173,"r, g, b, R/Gratio, G/Bratio",18.82
rgb_R/Gratio,AdaBoost SVM,0.49206349206349204,0.6703542168026558,0.49206349206349204,0.4418677904336839,0.4387990762124711,0.6277379894931858,0.4387990762124711,0.39980030579310066,"r, g, b, R/Gratio",17.85
RGB_HSV_R/Gratio,AdaBoost SVM,0.4781746031746032,0.5062495582370046,0.4781746031746032,0.41570481206142507,0.4387990762124711,0.4903040146920054,0.4387990762124711,0.3849043258333646,"R, G, B, R/Gratio, H, S, V",18.82
RGB_G/Bratio,AdaBoost SVM,0.4712301587301587,0.6537797762799624,0.4712301587301587,0.4117045628111636,0.43648960739030024,0.5855323217840086,0.43648960739030024,0.38309778909429815,"R, G, B, G/Bratio",17.9
CLab,AdaBoost SVM,0.4732142857142857,0.5215422891754107,0.4732142857142857,0.4087495798754303,0.4341801385681293,0.4854575506457044,0.4341801385681293,0.3750335381382343,"cL, ca, cb",16.9
RGB_rgb_G/Bratio,AdaBoost SVM,0.48214285714285715,0.5283010512617828,0.48214285714285715,0.4226308696562991,0.43187066974595845,0.5079427268019864,0.43187066974595845,0.38123528027209497,"R, G, B, r, g, b, G/Bratio",19.49
rgb_HSV_CLab,AdaBoost SVM,0.4751984126984127,0.5116831378093154,0.4751984126984127,0.41393026194378557,0.4295612009237875,0.48873766007347236,0.4295612009237875,0.3737209627861763,"r, g, b, H, S, V, cL, ca, cb",19.78
HSV,AdaBoost SVM,0.4751984126984127,0.6613137423448946,0.4751984126984127,0.4212174458294317,0.42725173210161665,0.5771645265570359,0.42725173210161665,0.36906412845744613,"H, S, V",16.14
RGB_HSV_CLab,AdaBoost SVM,0.4771825396825397,0.5272735759496844,0.4771825396825397,0.41855768472309823,0.42725173210161665,0.5181859868785462,0.42725173210161665,0.3765777996241654,"R, G, B, H, S, V, cL, ca, cb",19.78
RGB_rgb,AdaBoost SVM,0.4712301587301587,0.6036913682519494,0.4712301587301587,0.4166201320259134,0.42494226327944573,0.5783220012302369,0.42494226327944573,0.37971138521585573,"R, G, B, r, g, b",17.84
RGB_HSV,AdaBoost SVM,0.4662698412698413,0.5202614001289548,0.4662698412698413,0.40545574186078065,0.4226327944572748,0.5080116736355387,0.4226327944572748,0.37225388736805337,"R, G, B, H, S, V",18.0
