Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s)
ADABOOST SVM_MUTUAL_INFO_n_features-13,AdaBoost SVM,0.4332108563352097,0.5169279830739759,0.4332108563352097,0.3582727062113798,0.4206138613861386,0.5191170221491161,0.4206138613861386,0.34577669486636864,"R, G, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",178.51
ADABOOST SVM_MUTUAL_INFO_n_features-3,AdaBoost SVM,0.44300946140881736,0.594200317266994,0.44300946140881736,0.3777222547785251,0.4097623762376238,0.5504913892196444,0.4097623762376238,0.33298374652895946,"R/Gratio, G/Bratio, cL",136.35
ADABOOST SVM_MUTUAL_INFO_n_features-10,AdaBoost SVM,0.42383760181457,0.5417100650428879,0.42383760181457,0.34370663020051734,0.4067623762376237,0.5169583125389762,0.4067623762376237,0.3244178541351324,"G, r, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",159.66
ADABOOST SVM_PCA_n_components-9,AdaBoost SVM,0.4145827363287985,0.5303587525787071,0.4145827363287985,0.33106894811129456,0.40573267326732676,0.5261280489464534,0.40573267326732676,0.3249939130263336,(tidak tersedia),162.11
ADABOOST SVM_MUTUAL_INFO_n_features-4,AdaBoost SVM,0.4183132658859871,0.5290593351045866,0.4183132658859871,0.3401393368805969,0.4048514851485149,0.4919833757070423,0.4048514851485149,0.3209155823117982,"R/Gratio, G/Bratio, S, cL",139.98
ADABOOST SVM_MUTUAL_INFO_n_features-7,AdaBoost SVM,0.4293453025659457,0.5337211770583242,0.4293453025659457,0.3540834539313941,0.4047920792079208,0.5166302322967649,0.4047920792079208,0.32629257554205743,"R/Gratio, G/Bratio, H, S, cL, ca, cb",152.84
ADABOOST SVM_MUTUAL_INFO_n_features-9,AdaBoost SVM,0.42306157686908963,0.5170133629435172,0.42306157686908963,0.3400715678215788,0.4028217821782178,0.48256910171828726,0.4028217821782178,0.3193459963144081,"r, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",157.21
ADABOOST SVM_MUTUAL_INFO_n_features-12,AdaBoost SVM,0.4261413917207816,0.5374339010606553,0.4261413917207816,0.3491320212146263,0.39691089108910893,0.4630519380797667,0.39691089108910893,0.3116859941459364,"R, G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",169.71
ADABOOST SVM_MUTUAL_INFO_n_features-5,AdaBoost SVM,0.42316600206907606,0.5623437593462097,0.42316600206907606,0.344318996425746,0.39593069306930695,0.49017580251545817,0.39593069306930695,0.30892707063799946,"R/Gratio, G/Bratio, H, S, cL",139.52
ADABOOST SVM_MUTUAL_INFO_n_features-11,AdaBoost SVM,0.4206336909694059,0.4937468962056677,0.4206336909694059,0.330813723819104,0.3958910891089109,0.46819696461193977,0.3958910891089109,0.3028212348332894,"G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",173.16
ADABOOST SVM_MUTUAL_INFO_n_features-8,AdaBoost SVM,0.4045376392133626,0.5057644827297151,0.4045376392133626,0.32100738947863644,0.39393069306930695,0.47163463537370787,0.39393069306930695,0.30590914783984235,"g, R/Gratio, G/Bratio, H, S, cL, ca, cb",159.13
ADABOOST SVM_PCA_n_components-4,AdaBoost SVM,0.4139129579530718,0.5418349832029994,0.4139129579530718,0.33682708289032426,0.3938613861386139,0.5137758382474897,0.3938613861386139,0.31023927751636227,(tidak tersedia),166.28
ADABOOST SVM_PCA_n_components-3,AdaBoost SVM,0.3993579064447348,0.5115521014362135,0.3993579064447348,0.3157998612647154,0.39192079207920794,0.488257457308164,0.39192079207920794,0.3032644172909776,(tidak tersedia),149.37
ADABOOST SVM_PCA_n_components-8,AdaBoost SVM,0.399250688477772,0.5018280973862731,0.399250688477772,0.3169530063028592,0.3919009900990099,0.48859301919730874,0.3919009900990099,0.30370922204591355,(tidak tersedia),159.77
